time,concentration
1958.21,315.71
1958.29,317.45
1958.38,317.50
1958.54,315.86
1958.63,314.93
1958.71,313.20
1958.88,313.33
1958.96,314.67
1959.04,315.62
1959.13,316.38
1959.21,316.71
1959.29,317.72
1959.38,318.29
1959.46,318.15
1959.54,316.54
1959.63,314.80
1959.71,313.84
1959.79,313.26
1959.88,314.80
1959.96,315.58
1960.04,316.43
1960.13,316.97
1960.21,317.58
1960.29,319.02
1960.38,320.03
1960.46,319.59
1960.54,318.18
1960.63,315.91
1960.71,314.16
1960.79,313.83
1960.88,315.00
1960.96,316.19
1961.04,316.93
1961.13,317.70
1961.21,318.54
1961.29,319.48
1961.38,320.58
1961.46,319.77
1961.54,318.57
1961.63,316.79
1961.71,314.80
1961.79,315.38
1961.88,316.10
1961.96,317.01
1962.04,317.94
1962.13,318.56
1962.21,319.68
1962.29,320.63
1962.38,321.01
1962.46,320.55
1962.54,319.58
1962.63,317.40
1962.71,316.26
1962.79,315.42
1962.88,316.69
1962.96,317.69
1963.04,318.74
1963.13,319.08
1963.21,319.86
1963.29,321.39
1963.38,322.25
1963.46,321.47
1963.54,319.74
1963.63,317.77
1963.71,316.21
1963.79,315.99
1963.88,317.12
1963.96,318.31
1964.04,319.57
1964.38,322.25
1964.46,321.89
1964.54,320.44
1964.63,318.70
1964.71,316.70
1964.79,316.79
1964.88,317.79
1964.96,318.71
1965.04,319.44
1965.13,320.44
1965.21,320.89
1965.29,322.13
1965.38,322.16
1965.46,321.87
1965.54,321.39
1965.63,318.81
1965.71,317.81
1965.79,317.30
1965.88,318.87
1965.96,319.42
1966.04,320.62
1966.13,321.59
1966.21,322.39
1966.29,323.87
1966.38,324.01
1966.46,323.75
1966.54,322.39
1966.63,320.37
1966.71,318.64
1966.79,318.10
1966.88,319.79
1966.96,321.08
1967.04,322.07
1967.13,322.50
1967.21,323.04
1967.29,324.42
1967.38,325.00
1967.46,324.09
1967.54,322.55
1967.63,320.92
1967.71,319.31
1967.79,319.31
1967.88,320.72
1967.96,321.96
1968.04,322.57
1968.13,323.15
1968.21,323.89
1968.29,325.02
1968.38,325.57
1968.46,325.36
1968.54,324.14
1968.63,322.03
1968.71,320.41
1968.79,320.25
1968.88,321.31
1968.96,322.84
1969.04,324.00
1969.13,324.42
1969.21,325.64
1969.29,326.66
1969.38,327.34
1969.46,326.76
1969.54,325.88
1969.63,323.67
1969.71,322.38
1969.79,321.78
1969.88,322.85
1969.96,324.11
1970.04,325.03
1970.13,325.99
1970.21,326.87
1970.29,328.13
1970.38,328.07
1970.46,327.66
1970.54,326.35
1970.63,324.69
1970.71,323.10
1970.79,323.16
1970.88,323.98
1970.96,325.13
1971.04,326.17
1971.13,326.68
1971.21,327.18
1971.29,327.78
1971.38,328.92
1971.46,328.57
1971.54,327.34
1971.63,325.46
1971.71,323.36
1971.79,323.57
1971.88,324.80
1971.96,326.01
1972.04,326.77
1972.13,327.63
1972.21,327.75
1972.29,329.72
1972.38,330.07
1972.46,329.09
1972.54,328.05
1972.63,326.32
1972.71,324.93
1972.79,325.06
1972.88,326.50
1972.96,327.55
1973.04,328.54
1973.13,329.56
1973.21,330.30
1973.29,331.50
1973.38,332.48
1973.46,332.07
1973.54,330.87
1973.63,329.31
1973.71,327.51
1973.79,327.18
1973.88,328.16
1973.96,328.64
1974.04,329.35
1974.13,330.71
1974.21,331.48
1974.29,332.65
1974.38,333.19
1974.46,332.12
1974.54,330.99
1974.63,329.17
1974.71,327.41
1974.79,327.21
1974.88,328.34
1974.96,329.50
1975.04,330.68
1975.13,331.41
1975.21,331.85
1975.29,333.29
1975.38,333.91
1975.46,333.40
1975.54,331.74
1975.63,329.88
1975.71,328.57
1975.79,328.36
1975.88,329.33
1976.04,331.66
1976.13,332.75
1976.21,333.46
